Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
24048	Papineau	Papineau	Green Party of Canada	Le Parti Vert du Canada	Polifroni	Danny			01-Apr-2011	04:08:00
24048	Papineau	Papineau	New Democratic Party	Nouveau Parti démocratique	Tejada	Marcos Radhames		(514) 222-8169	04-Apr-2011	03:17:00
24048	Papineau	Papineau	Liberal Party of Canada	Parti libéral du Canada	Trudeau	Justin		(514) 508-3398	01-Apr-2011	03:20:00
24048	Papineau	Papineau	No Affiliation	Aucune appartenance	Young	Joseph		(514) 272-5840	06-Apr-2011	11:30:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	New Democratic Party	Nouveau Parti démocratique	Blanchette-Lamothe	Lysane		(514) 590-0036	07-Apr-2011	08:30:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Conservative Party of Canada	Parti conservateur du Canada	Evereklian	Agop		0	06-Apr-2011	03:00:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Bloc Québécois	Bloc Québécois	Jolicoeur	Nicolas		(514) 373-3157	04-Apr-2011	06:30:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Green Party of Canada	Le Parti Vert du Canada	Lumer	Jonathan		(514) 402-3231	06-Apr-2011	10:00:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Liberal Party of Canada	Parti libéral du Canada	Patry	Bernard			01-Apr-2011	04:20:00
24050	Pontiac	Pontiac	Conservative Party of Canada	Parti conservateur du Canada	Cannon	Lawrence		(819) 986-7939	04-Apr-2011	01:00:00
24050	Pontiac	Pontiac	Liberal Party of Canada	Parti libéral du Canada	Duncan McMillan	Cindy		(819) 230-5558	04-Apr-2011	09:30:00
24050	Pontiac	Pontiac	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Legros	Benoit			06-Apr-2011	09:45:00
24050	Pontiac	Pontiac	Green Party of Canada	Le Parti Vert du Canada	Mayrand	Louis-Philippe		(819) 643-0302	03-Apr-2011	11:12:00
24050	Pontiac	Pontiac	New Democratic Party	Nouveau Parti démocratique	Ravignat	Mathieu		(819) 827-4656	06-Apr-2011	05:46:00
24050	Pontiac	Pontiac	Bloc Québécois	Bloc Québécois	Tremblay	Maude		(819) 923-2749	05-Apr-2011	05:37:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Independent	Indépendant	Arthur	André			07-Apr-2011	05:30:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Bloc Québécois	Bloc Québécois	Côté	Richard			31-Mar-2011	10:40:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Green Party of Canada	Le Parti Vert du Canada	Delorme	Claudine		(418) 956-7380	06-Apr-2011	05:40:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	New Democratic Party	Nouveau Parti démocratique	Michaud	Élaine		(418) 529-3908	05-Apr-2011	07:55:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Liberal Party of Canada	Parti libéral du Canada	Thériault	Réjean			06-Apr-2011	09:35:00
24052	Québec	Québec	Green Party of Canada	Le Parti Vert du Canada	Dutil	Yvan			08-Apr-2011	10:10:00
24052	Québec	Québec	Bloc Québécois	Bloc Québécois	Gagnon	Christiane		(418) 948-0515	02-Apr-2011	09:00:00
24052	Québec	Québec	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Jetchick	Stefan		(418) 922-7015	10-Apr-2011	12:25:00
24052	Québec	Québec	Conservative Party of Canada	Parti conservateur du Canada	Morasse	Pierre		(418) 682-9882	06-Apr-2011	10:15:00
24052	Québec	Québec	New Democratic Party	Nouveau Parti démocratique	Papillon	Annick			07-Apr-2011	09:15:00
24052	Québec	Québec	Liberal Party of Canada	Parti libéral du Canada	Payeur	François		(418) 977-9779	06-Apr-2011	11:30:00
24053	Repentigny	Repentigny	Green Party of Canada	Le Parti Vert du Canada	Duchaine	Michel			09-Apr-2011	03:00:00
24053	Repentigny	Repentigny	Bloc Québécois	Bloc Québécois	Dufour	Nicolas		(514) 373-3149	31-Mar-2011	08:15:00
24053	Repentigny	Repentigny	New Democratic Party	Nouveau Parti démocratique	Larose	Jean-François		(514) 590-0036	04-Apr-2011	12:18:00
24053	Repentigny	Repentigny	Liberal Party of Canada	Parti libéral du Canada	Perreault	Chantal		(514) 823-7601	05-Apr-2011	10:42:00
24053	Repentigny	Repentigny	Conservative Party of Canada	Parti conservateur du Canada	Royer	Christophe		(450) 841-1117	10-Apr-2011	02:17:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Liberal Party of Canada	Parti libéral du Canada	Blais	Rhéal		(450) 746-8070	05-Apr-2011	05:00:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Conservative Party of Canada	Parti conservateur du Canada	Cartier	Charles			05-Apr-2011	12:00:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	New Democratic Party	Nouveau Parti démocratique	Lalonde	Krista		(514) 590-0036	06-Apr-2011	10:30:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Bloc Québécois	Bloc Québécois	Plamondon	Louis		(450) 742-2075	01-Apr-2011	07:15:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Green Party of Canada	Le Parti Vert du Canada	Tanguay	Anne-Marie		(819) 229-1271	08-Apr-2011	11:30:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Conservative Party of Canada	Parti conservateur du Canada	Bachand	Jean-Philippe		(819) 604-6464	05-Apr-2011	11:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Bloc Québécois	Bloc Québécois	Bellavance	André		(819) 751-2002	31-Mar-2011	02:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Green Party of Canada	Le Parti Vert du Canada	Bombardier	Tomy			03-Apr-2011	03:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	New Democratic Party	Nouveau Parti démocratique	Maguire	Isabelle		(514) 590-0036	05-Apr-2011	05:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Liberal Party of Canada	Parti libéral du Canada	Talbot	Marie-Josée		(819) 352-7279	05-Apr-2011	12:00:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Liberal Party of Canada	Parti libéral du Canada	Cadieux	Pierre			08-Apr-2011	06:30:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	New Democratic Party	Nouveau Parti démocratique	Caron	Guy		(819) 271-7055	09-Apr-2011	09:20:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Conservative Party of Canada	Parti conservateur du Canada	Denis	Bertin			08-Apr-2011	07:50:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Bloc Québécois	Bloc Québécois	Guimond	Claude		(418) 274-7785	04-Apr-2011	02:48:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Green Party of Canada	Le Parti Vert du Canada	Pelletier	Clément		(418) 724-9808	05-Apr-2011	01:05:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Green Party of Canada	Le Parti Vert du Canada	Bisson	Gilles			08-Apr-2011	04:45:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Bloc Québécois	Bloc Québécois	Desnoyers	Luc		(450) 491-2973	01-Apr-2011	12:31:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Liberal Party of Canada	Parti libéral du Canada	Joannette	Denis		(450) 473-5656	30-Mar-2011	07:55:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Conservative Party of Canada	Parti conservateur du Canada	Leblanc	Lucie		(450) 420-8405	05-Apr-2011	09:45:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	New Democratic Party	Nouveau Parti démocratique	Liu	Laurin		(514) 590-0036	05-Apr-2011	04:30:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Bloc Québécois	Bloc Québécois	Arsenault	Nathalie			01-Apr-2011	04:00:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Liberal Party of Canada	Parti libéral du Canada	Caddell	Andrew			11-Apr-2011	12:30:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Conservative Party of Canada	Parti conservateur du Canada	Généreux	Bernard		(418) 860-4884	08-Apr-2011	03:22:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	New Democratic Party	Nouveau Parti démocratique	Lapointe	François		(418) 607-0633	08-Apr-2011	11:10:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Green Party of Canada	Le Parti Vert du Canada	Tremblay	Lynette		0	10-Apr-2011	03:33:00
24059	Rivière-du-Nord	Rivière-du-Nord	Conservative Party of Canada	Parti conservateur du Canada	Charron	Sylvain		(450) 592-2727	04-Apr-2011	02:55:00
24059	Rivière-du-Nord	Rivière-du-Nord	New Democratic Party	Nouveau Parti démocratique	Dionne Labelle	Pierre		(450) 275-7731	04-Apr-2011	06:45:00
24059	Rivière-du-Nord	Rivière-du-Nord	Bloc Québécois	Bloc Québécois	Guay	Monique		(450) 592-2345	30-Mar-2011	02:10:00
24059	Rivière-du-Nord	Rivière-du-Nord	Liberal Party of Canada	Parti libéral du Canada	Juteau	Jonathan		(450) 822-0443	07-Apr-2011	03:40:00
24059	Rivière-du-Nord	Rivière-du-Nord	Green Party of Canada	Le Parti Vert du Canada	Piché	René		(514) 531-9633	11-Apr-2011	12:50:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Liberal Party of Canada	Parti libéral du Canada	Garneau	Bernard		(418) 515-2260	11-Apr-2011	09:36:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	New Democratic Party	Nouveau Parti démocratique	Guay	Yvon		(418) 679-4323	06-Apr-2011	11:25:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Conservative Party of Canada	Parti conservateur du Canada	Lebel	Denis		(418) 765-1206	05-Apr-2011	12:10:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Bloc Québécois	Bloc Québécois	Pilote	Claude		(418) 275-3957	04-Apr-2011	05:12:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Green Party of Canada	Le Parti Vert du Canada	Simard	Steeve		(418) 769-3264	07-Apr-2011	07:41:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Liberal Party of Canada	Parti libéral du Canada	Beauregard	Kettly		(514) 508-3492	01-Apr-2011	09:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Rhinoceros Party	Parti Rhinocéros	Berthiaume	Jean-Patrick		(514) 598-0792	11-Apr-2011	11:30:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Bloc Québécois	Bloc Québécois	Bigras	Bernard		(514) 788-6191	31-Mar-2011	04:10:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	New Democratic Party	Nouveau Parti démocratique	Boulerice	Alexandre		(514) 508-3822	06-Apr-2011	09:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Chénier	Stéphane		(514) 522-1373	07-Apr-2011	08:15:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Conservative Party of Canada	Parti conservateur du Canada	Forté	Sébastien		(514) 869-6950	06-Apr-2011	05:25:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Green Party of Canada	Le Parti Vert du Canada	Muldeen	Sameer		0	06-Apr-2011	05:20:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Conservative Party of Canada	Parti conservateur du Canada	Charbonneau Barron	Nicole		(450) 723-3781	01-Apr-2011	05:07:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Green Party of Canada	Le Parti Vert du Canada	Denoncourt	Germain		(450) 441-6246	07-Apr-2011	10:02:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Bloc Québécois	Bloc Québécois	Lavallée	Carole		(450) 812-4106	01-Apr-2011	10:12:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Liberal Party of Canada	Parti libéral du Canada	Picard	Michel		(450) 812-8200	01-Apr-2011	10:02:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	New Democratic Party	Nouveau Parti démocratique	Sellah	Djaouida		(514) 590-0036	08-Apr-2011	10:28:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Green Party of Canada	Le Parti Vert du Canada	Beaudoin-Bussières	Johany			02-Apr-2011	09:00:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Conservative Party of Canada	Parti conservateur du Canada	Dagenais	Jean-Guy			05-Apr-2011	04:20:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	New Democratic Party	Nouveau Parti démocratique	Morin	Marie-Claude		(450) 501-7784	01-Apr-2011	02:30:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Bloc Québécois	Bloc Québécois	Thi Lac	Ève-Mary Thaï		(450) 250-8424	30-Mar-2011	06:40:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Liberal Party of Canada	Parti libéral du Canada	Vallée	Denis			08-Apr-2011	06:35:00
24064	Saint-Jean	Saint-Jean	Bloc Québécois	Bloc Québécois	Bachand	Claude			31-Mar-2011	11:10:00
24064	Saint-Jean	Saint-Jean	New Democratic Party	Nouveau Parti démocratique	Brahmi	Tarik			07-Apr-2011	10:30:00
24064	Saint-Jean	Saint-Jean	Liberal Party of Canada	Parti libéral du Canada	David	Robert			09-Apr-2011	11:45:00
24064	Saint-Jean	Saint-Jean	Conservative Party of Canada	Parti conservateur du Canada	Thouin	Jean			01-Apr-2011	03:00:00
24064	Saint-Jean	Saint-Jean	Green Party of Canada	Le Parti Vert du Canada	Tremblay	Pierre		(514) 831-5141	08-Apr-2011	05:00:00
24065	Saint-Lambert	Saint-Lambert	Bloc Québécois	Bloc Québécois	Beaudin	Josée		(514) 788-4919	02-Apr-2011	11:00:00
24065	Saint-Lambert	Saint-Lambert	Green Party of Canada	Le Parti Vert du Canada	Budilean	Carmen		(514) 268-8013	09-Apr-2011	09:00:00
24065	Saint-Lambert	Saint-Lambert	New Democratic Party	Nouveau Parti démocratique	Groguhé	Sadia		(514) 590-0036	05-Apr-2011	07:02:00
24065	Saint-Lambert	Saint-Lambert	Conservative Party of Canada	Parti conservateur du Canada	Hamidi	Qais		(450) 321-2414	03-Apr-2011	02:17:00
24065	Saint-Lambert	Saint-Lambert	Liberal Party of Canada	Parti libéral du Canada	Stanners	Roxane		(514) 294-4087	03-Apr-2011	01:09:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Deschamps	Fernand		(514) 522-1373	08-Apr-2011	02:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Liberal Party of Canada	Parti libéral du Canada	Dion	Stéphane		(514) 508-3466	31-Mar-2011	06:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Bloc Québécois	Bloc Québécois	Fayad	William			03-Apr-2011	10:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	New Democratic Party	Nouveau Parti démocratique	Florez	Maria Ximena		(514) 799-0816	06-Apr-2011	04:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Green Party of Canada	Le Parti Vert du Canada	Landry	Tim		(514) 708-1797	11-Apr-2011	01:55:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Conservative Party of Canada	Parti conservateur du Canada	Litvin	Svetlana		(514) 508-3783	06-Apr-2011	11:10:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Bloc Québécois	Bloc Québécois	Bernier	Alain			04-Apr-2011	02:30:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Colly	Garnet		(514) 522-1373	08-Apr-2011	08:10:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Conservative Party of Canada	Parti conservateur du Canada	De Ioris	Riccardo			01-Apr-2011	02:30:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Green Party of Canada	Le Parti Vert du Canada	Di Pardo	Michael		(514) 585-5555	11-Apr-2011	01:36:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Liberal Party of Canada	Parti libéral du Canada	Pacetti	Massimo			29-Mar-2011	04:38:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	New Democratic Party	Nouveau Parti démocratique	Peressini	Roberta		(514) 590-0036	07-Apr-2011	09:55:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Green Party of Canada	Le Parti Vert du Canada	Audette	Pierre			05-Apr-2011	04:44:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Conservative Party of Canada	Parti conservateur du Canada	Grenier	Jacques			03-Apr-2011	11:52:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Bloc Québécois	Bloc Québécois	Laforest	Jean-Yves			31-Mar-2011	02:41:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	New Democratic Party	Nouveau Parti démocratique	St-Denis	Lise		1 800 843-8598	08-Apr-2011	12:11:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Liberal Party of Canada	Parti libéral du Canada	Tousignant	Yves		(819) 523-4642	03-Apr-2011	02:53:00
24069	Shefford	Shefford	Green Party of Canada	Le Parti Vert du Canada	Daoust	Patrick			11-Apr-2011	11:30:00
24069	Shefford	Shefford	Liberal Party of Canada	Parti libéral du Canada	Demers	Bernard		(450) 578-3420	08-Apr-2011	09:22:00
24069	Shefford	Shefford	New Democratic Party	Nouveau Parti démocratique	Genest	Réjean		(450) 776-7955	04-Apr-2011	04:00:00
24069	Shefford	Shefford	Conservative Party of Canada	Parti conservateur du Canada	Leclerc	Mélisa			03-Apr-2011	03:50:00
24069	Shefford	Shefford	Bloc Québécois	Bloc Québécois	Vincent	Robert		(450) 574-8178	31-Mar-2011	06:45:00
24070	Sherbrooke	Sherbrooke	Bloc Québécois	Bloc Québécois	Cardin	Serge		(819) 791-1138	02-Apr-2011	10:40:00
24070	Sherbrooke	Sherbrooke	Liberal Party of Canada	Parti libéral du Canada	Deslauriers	Éric			07-Apr-2011	03:10:00
24070	Sherbrooke	Sherbrooke	New Democratic Party	Nouveau Parti démocratique	Dusseault	Pierre-Luc		(819) 919-2977	09-Apr-2011	11:55:00
24070	Sherbrooke	Sherbrooke	Conservative Party of Canada	Parti conservateur du Canada	Harvey	Pierre		(819) 340-1938	04-Apr-2011	10:37:00
24070	Sherbrooke	Sherbrooke	Green Party of Canada	Le Parti Vert du Canada	Laberge	Jacques		(450) 776-4209	06-Apr-2011	11:20:00
24070	Sherbrooke	Sherbrooke	Rhinoceros Party	Parti Rhinocéros	Landry	Crédible Berlingot		(819) 812-3446	11-Apr-2011	10:07:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	New Democratic Party	Nouveau Parti démocratique	Borg	Charmaine		(514) 590-0036	07-Apr-2011	02:00:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Bloc Québécois	Bloc Québécois	Bourgeois	Diane			03-Apr-2011	01:45:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Liberal Party of Canada	Parti libéral du Canada	Frégeau	Robert			06-Apr-2011	03:45:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Green Party of Canada	Le Parti Vert du Canada	Paulette	Michel		(450) 478-5783	08-Apr-2011	07:30:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Conservative Party of Canada	Parti conservateur du Canada	Payment	Jean-Philippe		(450) 818-2249	06-Apr-2011	03:50:00
24072	Trois-Rivières	Trois-Rivières	Rhinoceros Party	Parti Rhinocéros	Arsenault	Francis		(418) 328-4510	06-Apr-2011	03:20:00
24072	Trois-Rivières	Trois-Rivières	New Democratic Party	Nouveau Parti démocratique	Aubin	Robert		(819) 374-1250	05-Apr-2011	07:00:00
24072	Trois-Rivières	Trois-Rivières	Bloc Québécois	Bloc Québécois	Brunelle	Paule		(819) 295-3724	31-Mar-2011	07:10:00
24072	Trois-Rivières	Trois-Rivières	Independent	Indépendant	Fortin	Marc-André		(819) 840-4295	11-Apr-2011	08:10:00
24072	Trois-Rivières	Trois-Rivières	Green Party of Canada	Le Parti Vert du Canada	Lacroix	Louis			09-Apr-2011	11:30:00
24072	Trois-Rivières	Trois-Rivières	Conservative Party of Canada	Parti conservateur du Canada	Lacroix	Pierre		(819) 601-2140	04-Apr-2011	06:55:00
24072	Trois-Rivières	Trois-Rivières	Liberal Party of Canada	Parti libéral du Canada	Mangin	Patrice		(819) 386-2836	05-Apr-2011	08:30:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Conservative Party of Canada	Parti conservateur du Canada	Boudreau	Marc		(450) 218-3999	07-Apr-2011	05:12:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Bloc Québécois	Bloc Québécois	Faille	Meili		(514) 373-3158	31-Mar-2011	07:15:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Green Party of Canada	Le Parti Vert du Canada	Massenet	Jean-Yves		(450) 853-0506	08-Apr-2011	02:02:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	New Democratic Party	Nouveau Parti démocratique	Nicholls	Jamie		(450) 202-1052	08-Apr-2011	02:50:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Liberal Party of Canada	Parti libéral du Canada	Pelchat	Lyne		(514) 373-2437	06-Apr-2011	07:55:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Conservative Party of Canada	Parti conservateur du Canada	Alfaro	Rodrigo		(514) 825-3614	10-Apr-2011	10:20:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	New Democratic Party	Nouveau Parti démocratique	Hassainia	Sana		(514) 590-0036	07-Apr-2011	10:20:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Green Party of Canada	Le Parti Vert du Canada	Lapierre	Thomas		(514) 482-5955	09-Apr-2011	11:45:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Bloc Québécois	Bloc Québécois	Malo	Luc		(450) 929-1414	02-Apr-2011	09:25:00
24074	Verchères--Les Patriotes	Verchères--Les Patriotes	Liberal Party of Canada	Parti libéral du Canada	Therrien-Péloquin	Pier-Luc		(450) 561-5131	07-Apr-2011	04:20:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Green Party of Canada	Le Parti Vert du Canada	Carkner	Andrew		(514) 500-3531	07-Apr-2011	07:56:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	New Democratic Party	Nouveau Parti démocratique	Corbeil	Joanne		(514) 543-1470	08-Apr-2011	11:30:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Conservative Party of Canada	Parti conservateur du Canada	Drabkin	Neil		(514) 282-4108	10-Apr-2011	05:33:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Liberal Party of Canada	Parti libéral du Canada	Garneau	Marc		(514) 447-3642	06-Apr-2011	07:25:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Rhinoceros Party	Parti Rhinocéros	Haliburton	Victoria		(514) 386-5327	11-Apr-2011	05:35:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Bloc Québécois	Bloc Québécois	Roy	Véronique		(514) 373-3157	05-Apr-2011	10:00:00
24075	Westmount--Ville-Marie	Westmount--Ville-Marie	Communist Party of Canada	Parti communiste du Canada	Sloan	Bill		(938) 338-8890	09-Apr-2011	10:45:00
35001	Ajax--Pickering	Ajax--Pickering	Conservative Party of Canada	Parti conservateur du Canada	Alexander	Chris		(905) 281-1579	01-Apr-2011	09:26:00
35001	Ajax--Pickering	Ajax--Pickering	Green Party of Canada	Le Parti Vert du Canada	Harilaid	Mike		(905) 493-5864	10-Apr-2011	04:06:00
35001	Ajax--Pickering	Ajax--Pickering	Liberal Party of Canada	Parti libéral du Canada	Holland	Mark		(905) 239-4518	06-Apr-2011	01:58:00
35001	Ajax--Pickering	Ajax--Pickering	United Party of Canada	Parti Uni du Canada	Kesic	Bob		(905) 619-9059	07-Apr-2011	04:52:00
35001	Ajax--Pickering	Ajax--Pickering	New Democratic Party	Nouveau Parti démocratique	Koppens	Jim		(416) 454-9630	07-Apr-2011	09:59:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Liberal Party of Canada	Parti libéral du Canada	Cloutier	François		1 866 248-5708	02-Apr-2011	11:15:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	New Democratic Party	Nouveau Parti démocratique	Hughes	Carol		(705) 461-7771	02-Apr-2011	04:30:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Green Party of Canada	Le Parti Vert du Canada	Rekmans	Lorraine A.		(613) 796-2209	04-Apr-2011	12:10:00
35002	Algoma--Manitoulin--Kapuskasing	Algoma--Manitoulin--Kapuskasing	Conservative Party of Canada	Parti conservateur du Canada	Sturgeon	Ray		(705) 989-6060	05-Apr-2011	01:50:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Liberal Party of Canada	Parti libéral du Canada	Braden	Dave		(905) 276-2224	01-Apr-2011	04:45:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Ghaddar	Jamilé		(416) 253-4475	11-Apr-2011	09:12:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Libertarian Party of Canada	Parti Libertarien du Canada	Giles	Anthony		(905) 691-0818	11-Apr-2011	12:35:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	New Democratic Party	Nouveau Parti démocratique	MacBain	Nancy		(905) 218-6500	08-Apr-2011	04:00:00
35003	Ancaster--Dundas--Flamborough--Westdale	Ancaster--Dundas--Flamborough--Westdale	Green Party of Canada	Le Parti Vert du Canada	Ormond	Peter Michael			02-Apr-2011	12:36:00
