Electoral District Number / No de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	 Candidate's Initial(s) / Initiale(s) du candidat	 Candidate's Campaign Office Telephone Number / Numéro de téléphone du bureau de campagne du candidat	Date of Receipt of Notification of Confirmation / Date de réception de l'avis de confirmation	Time of Receipt of Notification of Confirmation / Heure de réception de l'avis de confirmation
24043	Montcalm	Montcalm	Green Party of Canada	Le Parti Vert du Canada	Paulette	Michel			22-Sep-2008	09:30:00
24044	Mount Royal	Mont-Royal	Green Party of Canada	Le Parti Vert du Canada	Alexander	Tyrell		(514) 481-7222	22-Sep-2008	12:09:00
24044	Mount Royal	Mont-Royal	Communist Party of Canada	Parti communiste du Canada	Artuso	Antonio		(514) 737-7817	21-Sep-2008	02:09:00
24044	Mount Royal	Mont-Royal	Liberal Party of Canada	Parti libéral du Canada	Cotler	Irwin			12-Sep-2008	07:58:00
24044	Mount Royal	Mont-Royal	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Johnston	Diane			17-Sep-2008	12:08:00
24044	Mount Royal	Mont-Royal	Bloc Québécois	Bloc Québécois	Lavallée	Maryse		(514) 526-3000	18-Sep-2008	05:21:00
24044	Mount Royal	Mont-Royal	New Democratic Party	Nouveau Parti démocratique	Thibodeau	Nicolas		(514) 495-4672	16-Sep-2008	11:46:00
24044	Mount Royal	Mont-Royal	Conservative Party of Canada	Parti conservateur du Canada	Tzoubari	Rafael		(514) 482-0770	15-Sep-2008	03:31:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	New Democratic Party	Nouveau Parti démocratique	Deslauriers	Peter		(514) 750-2982	16-Sep-2008	09:45:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Green Party of Canada	Le Parti Vert du Canada	Gal	Jessica			16-Sep-2008	07:53:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Hoffman	Rachel		(514) 522-1373	22-Sep-2008	10:25:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Liberal Party of Canada	Parti libéral du Canada	Jennings	Marlene		(514) 667-7095	14-Sep-2008	02:42:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Conservative Party of Canada	Parti conservateur du Canada	Pontillo	Carmine		(514) 272-0283	16-Sep-2008	10:15:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Bloc Québécois	Bloc Québécois	Taillefer	Eric			18-Sep-2008	11:22:00
24046	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Liberal Party of Canada	Parti libéral du Canada	Canada	Mark			21-Sep-2008	02:17:00
24046	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Bloc Québécois	Bloc Québécois	Lévesque	Yvon		(819) 824-1278	11-Sep-2008	01:30:00
24046	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	New Democratic Party	Nouveau Parti démocratique	Martin	Erica		(514) 590-0036	17-Sep-2008	10:48:00
24046	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Conservative Party of Canada	Parti conservateur du Canada	Matte	Jean-Maurice		(819) 874-0476	12-Sep-2008	03:20:00
24046	Abitibi--Baie-James--Nunavik--Eeyou	Abitibi--Baie-James--Nunavik--Eeyou	Green Party of Canada	Le Parti Vert du Canada	Rancourt	Patrick			22-Sep-2008	09:39:00
24047	Outremont	Outremont	Liberal Party of Canada	Parti libéral du Canada	Dhavernas	Sébastien			14-Sep-2008	01:15:00
24047	Outremont	Outremont	Conservative Party of Canada	Parti conservateur du Canada	Laloshi	Lulzim			17-Sep-2008	01:30:00
24047	Outremont	Outremont	New Democratic Party	Nouveau Parti démocratique	Mulcair	Thomas		(514) 276-0031	13-Sep-2008	12:00:00
24047	Outremont	Outremont	Green Party of Canada	Le Parti Vert du Canada	Pilon	F. Monsieur Corde à Linge			16-Sep-2008	10:00:00
24047	Outremont	Outremont	Bloc Québécois	Bloc Québécois	Valdivia	Marcela			14-Sep-2008	05:15:00
24048	Papineau	Papineau	Independent	Indépendant	Baig	Mahmood Raza		(514) 560-2358	17-Sep-2008	07:35:00
24048	Papineau	Papineau	Bloc Québécois	Bloc Québécois	Barbot	Vivian		(514) 270-0801	16-Sep-2008	09:02:00
24048	Papineau	Papineau	Green Party of Canada	Le Parti Vert du Canada	Hein	Ingrid		(514) 948-4290	19-Sep-2008	05:33:00
24048	Papineau	Papineau	Conservative Party of Canada	Parti conservateur du Canada	Sarker	Mustaque		(514) 383-0308	18-Sep-2008	01:44:00
24048	Papineau	Papineau	Liberal Party of Canada	Parti libéral du Canada	Trudeau	Justin		(514) 273-8878	14-Sep-2008	02:08:00
24048	Papineau	Papineau	New Democratic Party	Nouveau Parti démocratique	Zafiropoulos	Costa		(514) 273-7833	16-Sep-2008	06:47:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Conservative Party of Canada	Parti conservateur du Canada	Brunelle	Pierre-Olivier			10-Sep-2008	08:55:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Fine	Marsha		(514) 522-1373	20-Sep-2008	03:25:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Bloc Québécois	Bloc Québécois	Gagnon	Reny			18-Sep-2008	04:00:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Liberal Party of Canada	Parti libéral du Canada	Patry	Bernard			12-Sep-2008	04:00:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	New Democratic Party	Nouveau Parti démocratique	Siddiqui	Shameem		(514) 684-0621	19-Sep-2008	06:15:00
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Green Party of Canada	Le Parti Vert du Canada	Young	Ryan		(514) 451-3774	18-Sep-2008	09:15:00
24050	Pontiac	Pontiac	New Democratic Party	Nouveau Parti démocratique	Brault	Céline		(819) 459-3668	14-Sep-2008	04:00:00
24050	Pontiac	Pontiac	Conservative Party of Canada	Parti conservateur du Canada	Cannon	Lawrence		(819) 360-9872	17-Sep-2008	04:00:00
24050	Pontiac	Pontiac	Liberal Party of Canada	Parti libéral du Canada	Duncan McMillan	Cindy		(819) 459-4430	19-Sep-2008	04:00:00
24050	Pontiac	Pontiac	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Legros	Benoit			18-Sep-2008	01:10:00
24050	Pontiac	Pontiac	Green Party of Canada	Le Parti Vert du Canada	Sylvestre	André		(819) 607-0685	14-Sep-2008	04:00:00
24050	Pontiac	Pontiac	Bloc Québécois	Bloc Québécois	Tremblay	Marius		(819) 281-4818	15-Sep-2008	07:00:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Independent	Indépendant	Arthur	André		(418) 951-8683	15-Sep-2008	07:15:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Liberal Party of Canada	Parti libéral du Canada	Asselin	Stéphane			22-Sep-2008	01:10:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Bloc Québécois	Bloc Québécois	Côté	Richard		(450) 285-4353	17-Sep-2008	07:20:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Independent	Indépendant	Paradis	Jean		(418) 805-6429	22-Sep-2008	02:00:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	New Democratic Party	Nouveau Parti démocratique	Turgeon	André			19-Sep-2008	10:30:00
24051	Portneuf--Jacques-Cartier	Portneuf--Jacques-Cartier	Green Party of Canada	Le Parti Vert du Canada	Weatherdon	Nathan John			22-Sep-2008	09:20:00
24052	Québec	Québec	Green Party of Canada	Le Parti Vert du Canada	Bonaventure	Yonnel		(418) 952-5061	21-Sep-2008	05:00:00
24052	Québec	Québec	Bloc Québécois	Bloc Québécois	Gagnon	Christiane		(418) 649-8878	13-Sep-2008	11:50:00
24052	Québec	Québec	Liberal Party of Canada	Parti libéral du Canada	Rousseau	Damien			21-Sep-2008	12:38:00
24052	Québec	Québec	New Democratic Party	Nouveau Parti démocratique	Roy-Goyette	Catherine		(418) 614-4971	17-Sep-2008	05:20:00
24052	Québec	Québec	Conservative Party of Canada	Parti conservateur du Canada	Taschereau	Myriam		(418) 523-4231	15-Sep-2008	07:35:00
24053	Repentigny	Repentigny	New Democratic Party	Nouveau Parti démocratique	Bellemare	Réjean		(514) 590-0036	17-Sep-2008	01:31:00
24053	Repentigny	Repentigny	Bloc Québécois	Bloc Québécois	Dufour	Nicolas		(514) 227-8128	14-Sep-2008	12:00:00
24053	Repentigny	Repentigny	Green Party of Canada	Le Parti Vert du Canada	Fournier	Paul W.		(514) 266-1437	20-Sep-2008	03:09:00
24053	Repentigny	Repentigny	Conservative Party of Canada	Parti conservateur du Canada	Royer	Bruno		(514) 316-4436	14-Sep-2008	01:15:00
24053	Repentigny	Repentigny	Liberal Party of Canada	Parti libéral du Canada	Semegen	Robert		(450) 581-7020	20-Sep-2008	10:55:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Conservative Party of Canada	Parti conservateur du Canada	Bériault	Réjean		(450) 743-4004	12-Sep-2008	02:30:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Liberal Party of Canada	Parti libéral du Canada	Cournoyer	Ghislaine			12-Sep-2008	03:30:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Green Party of Canada	Le Parti Vert du Canada	Laplante	Rebecca			22-Sep-2008	09:51:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	Bloc Québécois	Bloc Québécois	Plamondon	Louis		(450) 746-6701	13-Sep-2008	04:45:00
24054	Bas-Richelieu--Nicolet--Bécancour	Bas-Richelieu--Nicolet--Bécancour	New Democratic Party	Nouveau Parti démocratique	Seddiki	Nourredine		(450) 561-1965	18-Sep-2008	03:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Bloc Québécois	Bloc Québécois	Bellavance	André		(819) 752-5885	10-Sep-2008	01:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Green Party of Canada	Le Parti Vert du Canada	Fillion	François		(819) 758-4004	18-Sep-2008	04:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Liberal Party of Canada	Parti libéral du Canada	Grant	Gwyneth Helen			13-Sep-2008	10:30:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Independent	Indépendant	Landry	Jean		(819) 353-2888	11-Sep-2008	10:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Conservative Party of Canada	Parti conservateur du Canada	Lefebvre	Éric		(819) 604-0542	11-Sep-2008	02:30:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	New Democratic Party	Nouveau Parti démocratique	Ricard	Stéphane		(819) 336-5666	19-Sep-2008	08:45:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Liberal Party of Canada	Parti libéral du Canada	Béland	Pierre		(418) 723-2818	20-Sep-2008	10:11:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	New Democratic Party	Nouveau Parti démocratique	Caron	Guy		(418) 732-4318	18-Sep-2008	07:56:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Bloc Québécois	Bloc Québécois	Guimond	Claude		(418) 724-7785	12-Sep-2008	07:30:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Green Party of Canada	Le Parti Vert du Canada	Morrison	James D.			23-Sep-2008	10:15:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Conservative Party of Canada	Parti conservateur du Canada	Noël	Gaston		(418) 723-8869	12-Sep-2008	07:45:00
24056	Rimouski-Neigette--Témiscouata--Les Basques	Rimouski-Neigette--Témiscouata--Les Basques	Independent	Indépendant	Thibault	Louise		(418) 318-1469	11-Sep-2008	05:45:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	New Democratic Party	Nouveau Parti démocratique	Beaudet	Normand			17-Sep-2008	02:40:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Green Party of Canada	Le Parti Vert du Canada	Bédard	Marie Martine			17-Sep-2008	02:45:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Conservative Party of Canada	Parti conservateur du Canada	Carignan	Claude		(450) 473-8585	12-Sep-2008	04:55:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Bloc Québécois	Bloc Québécois	Desnoyers	Luc		(450) 623-1144	11-Sep-2008	06:00:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Liberal Party of Canada	Parti libéral du Canada	Joannette	Denis			19-Sep-2008	07:05:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Liberal Party of Canada	Parti libéral du Canada	Bouchard	Jean			16-Sep-2008	02:10:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Christian Heritage Party of Canada	Parti de l'Héritage Chrétien du Canada	Côté	Aubert			22-Sep-2008	01:45:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Bloc Québécois	Bloc Québécois	Crête	Paul		(418) 862-2524	13-Sep-2008	02:00:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Green Party of Canada	Le Parti Vert du Canada	Gaumond	Claude		(418) 952-6624	22-Sep-2008	12:00:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	New Democratic Party	Nouveau Parti démocratique	Hervieux	Gaston			19-Sep-2008	01:50:00
24058	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Conservative Party of Canada	Parti conservateur du Canada	Laflamme	Denis		(418) 248-4552	16-Sep-2008	02:50:00
24059	Rivière-du-Nord	Rivière-du-Nord	New Democratic Party	Nouveau Parti démocratique	Bernier	Simon		(514) 219-5154	19-Sep-2008	03:11:00
24059	Rivière-du-Nord	Rivière-du-Nord	Conservative Party of Canada	Parti conservateur du Canada	Duguay	Gilles		(450) 304-2822	16-Sep-2008	09:30:00
24059	Rivière-du-Nord	Rivière-du-Nord	Bloc Québécois	Bloc Québécois	Guay	Monique			15-Sep-2008	08:15:00
24059	Rivière-du-Nord	Rivière-du-Nord	Independent	Indépendant	Leduc	Jocelyne		(450) 563-3770	22-Sep-2008	01:30:00
24059	Rivière-du-Nord	Rivière-du-Nord	Liberal Party of Canada	Parti libéral du Canada	Neves	Joao		(514) 213-5631	23-Sep-2008	10:00:00
24059	Rivière-du-Nord	Rivière-du-Nord	Green Party of Canada	Le Parti Vert du Canada	Piché	René		(450) 569-9190	22-Sep-2008	01:30:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	New Democratic Party	Nouveau Parti démocratique	Forbes	Catherine		(514) 590-0036	18-Sep-2008	07:31:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Liberal Party of Canada	Parti libéral du Canada	Garneau	Bernard		(418) 637-8645	19-Sep-2008	03:22:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Conservative Party of Canada	Parti conservateur du Canada	Lebel	Denis		(418) 275-8131	15-Sep-2008	10:26:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Bloc Québécois	Bloc Québécois	Pilote	Claude		(418) 275-5730	12-Sep-2008	03:05:00
24060	Roberval--Lac-Saint-Jean	Roberval--Lac-Saint-Jean	Green Party of Canada	Le Parti Vert du Canada	Tremblay	Jocelyn		(418) 679-6814	22-Sep-2008	11:11:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	neorhino.ca	neorhino.ca	Berthiaume	Jean-Patrick		(514) 598-0792	19-Sep-2008	03:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Bloc Québécois	Bloc Québécois	Bigras	Bernard		(514) 313-5967	15-Sep-2008	02:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	New Democratic Party	Nouveau Parti démocratique	Boulerice	Alexandre		(514) 273-6808	15-Sep-2008	06:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Conservative Party of Canada	Parti conservateur du Canada	Boulianne	Sylvie		(514) 521-1575	11-Sep-2008	07:30:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Chénier	Stéphane		(514) 522-1373	20-Sep-2008	01:00:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	No Affiliation	Aucune appartenance	Dugré	Michel		(514) 272-5840	18-Sep-2008	09:30:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Green Party of Canada	Le Parti Vert du Canada	Larochelle	Vincent		(514) 963-6951	19-Sep-2008	07:30:00
24061	Rosemont--La Petite-Patrie	Rosemont--La Petite-Patrie	Liberal Party of Canada	Parti libéral du Canada	Théodore	Marjorie		(514) 273-5404	15-Sep-2008	02:00:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Green Party of Canada	Le Parti Vert du Canada	Bernier	Simon		(450) 653-5693	22-Sep-2008	05:27:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Conservative Party of Canada	Parti conservateur du Canada	Charbonneau Barron	Nicole		(450) 723-3781	11-Sep-2008	03:54:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Liberal Party of Canada	Parti libéral du Canada	Diamond	Pierre			18-Sep-2008	08:52:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	Bloc Québécois	Bloc Québécois	Lavallée	Carole		(514) 604-2126	09-Sep-2008	08:16:00
24062	Saint-Bruno--Saint-Hubert	Saint-Bruno--Saint-Hubert	New Democratic Party	Nouveau Parti démocratique	Vesic	Vesna		(514) 773-7833	16-Sep-2008	10:01:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	New Democratic Party	Nouveau Parti démocratique	Sansoucy	Brigitte			17-Sep-2008	04:50:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Green Party of Canada	Le Parti Vert du Canada	Tétreault	Jacques			11-Sep-2008	12:15:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Bloc Québécois	Bloc Québécois	Thi Lac	Ève-Mary Thaï		(450) 250-8424	12-Sep-2008	06:13:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Liberal Party of Canada	Parti libéral du Canada	Tremblay	Denise			22-Sep-2008	01:15:00
24063	Saint-Hyacinthe--Bagot	Saint-Hyacinthe--Bagot	Conservative Party of Canada	Parti conservateur du Canada	Vincelette	René		(450) 250-0500	15-Sep-2008	04:35:00
24064	Saint-Jean	Saint-Jean	Bloc Québécois	Bloc Québécois	Bachand	Claude			11-Sep-2008	03:45:00
24064	Saint-Jean	Saint-Jean	Independent	Indépendant	Berger	Guy			11-Sep-2008	03:45:00
24064	Saint-Jean	Saint-Jean	Conservative Party of Canada	Parti conservateur du Canada	Mercier	Marie-Josée			13-Sep-2008	01:45:00
24064	Saint-Jean	Saint-Jean	New Democratic Party	Nouveau Parti démocratique	Refghi	Philippe		(514) 590-0036	18-Sep-2008	06:30:00
24064	Saint-Jean	Saint-Jean	Liberal Party of Canada	Parti libéral du Canada	Ste-Marie	Claire			22-Sep-2008	04:45:00
24064	Saint-Jean	Saint-Jean	Green Party of Canada	Le Parti Vert du Canada	Tremblay	Pierre			18-Sep-2008	05:00:00
24065	Saint-Lambert	Saint-Lambert	Bloc Québécois	Bloc Québécois	Beaudin	Josée		(514) 461-1002	09-Sep-2008	04:51:00
24065	Saint-Lambert	Saint-Lambert	Conservative Party of Canada	Parti conservateur du Canada	Clune	Patrick			13-Sep-2008	08:40:00
24065	Saint-Lambert	Saint-Lambert	Green Party of Canada	Le Parti Vert du Canada	Joubert	Diane			22-Sep-2008	09:30:00
24065	Saint-Lambert	Saint-Lambert	New Democratic Party	Nouveau Parti démocratique	Marois	Richard			15-Sep-2008	11:10:00
24065	Saint-Lambert	Saint-Lambert	Liberal Party of Canada	Parti libéral du Canada	Stanners	Roxane		(450) 671-5700	18-Sep-2008	04:10:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Deschamps	Fernand			18-Sep-2008	03:15:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Liberal Party of Canada	Parti libéral du Canada	Dion	Stéphane		(514) 335-5421	12-Sep-2008	01:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Conservative Party of Canada	Parti conservateur du Canada	Galiatsatos	Dennis		(514) 581-5200	13-Sep-2008	12:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	Bloc Québécois	Bloc Québécois	Lachaîne	Jacques			17-Sep-2008	04:00:00
24066	Saint-Laurent--Cartierville	Saint-Laurent--Cartierville	New Democratic Party	Nouveau Parti démocratique	Rodrigues	Jerome		(514) 590-0036	18-Sep-2008	01:30:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	New Democratic Party	Nouveau Parti démocratique	Colella	Laura		(514) 883-6137	17-Sep-2008	01:00:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Marxist-Leninist Party of Canada	Parti Marxiste-Léniniste du Canada	Colly	Garnet		(514) 522-1373	18-Sep-2008	11:10:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Conservative Party of Canada	Parti conservateur du Canada	Le Tourneau	Lucie		(514) 327-2007	12-Sep-2008	06:30:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Green Party of Canada	Le Parti Vert du Canada	Monteleone	Frank			22-Sep-2008	01:45:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Liberal Party of Canada	Parti libéral du Canada	Pacetti	Massimo		(514) 593-7005	15-Sep-2008	07:00:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	Bloc Québécois	Bloc Québécois	Salem	Farid			18-Sep-2008	10:40:00
24067	Saint-Léonard--Saint-Michel	Saint-Léonard--Saint-Michel	No Affiliation	Aucune appartenance	Young	Joseph		(514) 272-5840	18-Sep-2008	11:00:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	New Democratic Party	Nouveau Parti démocratique	Aubert	Anne Marie		(514) 273-2275	17-Sep-2008	08:50:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Bloc Québécois	Bloc Québécois	Laforest	Jean-Yves			12-Sep-2008	03:05:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Conservative Party of Canada	Parti conservateur du Canada	Roof	Stéphane		(819) 536-1071	12-Sep-2008	05:00:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Liberal Party of Canada	Parti libéral du Canada	St-Onge Lynch	Ronald		(819) 538-1735	19-Sep-2008	05:00:00
24068	Saint-Maurice--Champlain	Saint-Maurice--Champlain	Green Party of Canada	Le Parti Vert du Canada	Toupin	Martial			19-Sep-2008	08:00:00
24069	Shefford	Shefford	Green Party of Canada	Le Parti Vert du Canada	Champagne	Michel.M.		(450) 578-1311	19-Sep-2008	07:45:00
24069	Shefford	Shefford	Liberal Party of Canada	Parti libéral du Canada	Demers	Bernard			17-Sep-2008	02:00:00
24069	Shefford	Shefford	New Democratic Party	Nouveau Parti démocratique	Gnocchini Messier	Simon			18-Sep-2008	08:00:00
24069	Shefford	Shefford	Conservative Party of Canada	Parti conservateur du Canada	Lambert	Jean			12-Sep-2008	08:35:00
24069	Shefford	Shefford	Bloc Québécois	Bloc Québécois	Vincent	Robert		(450) 574-8104	12-Sep-2008	08:30:00
24070	Sherbrooke	Sherbrooke	Conservative Party of Canada	Parti conservateur du Canada	Bachand	André			18-Sep-2008	02:30:00
24070	Sherbrooke	Sherbrooke	Bloc Québécois	Bloc Québécois	Cardin	Serge			15-Sep-2008	11:15:00
24070	Sherbrooke	Sherbrooke	neorhino.ca	neorhino.ca	Côrriveau	Sébastien		(819) 542-5445	22-Sep-2008	02:20:00
24070	Sherbrooke	Sherbrooke	Liberal Party of Canada	Parti libéral du Canada	Goguen	Nathalie			13-Sep-2008	09:30:00
24070	Sherbrooke	Sherbrooke	New Democratic Party	Nouveau Parti démocratique	Mondoux	Yves		(819) 580-9433	18-Sep-2008	09:35:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Bloc Québécois	Bloc Québécois	Bourgeois	Diane		(450) 575-8076	16-Sep-2008	12:30:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Independent	Indépendant	Cadieux	M. Zamboni		(450) 979-5017	16-Sep-2008	02:25:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Green Party of Canada	Le Parti Vert du Canada	Drapeau	Martin		(514) 990-6963	20-Sep-2008	03:30:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Conservative Party of Canada	Parti conservateur du Canada	Lebel	Daniel		(450) 560-7716	16-Sep-2008	10:30:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	New Democratic Party	Nouveau Parti démocratique	Le Clair	Michel		(450) 492-1955	18-Sep-2008	07:00:00
24071	Terrebonne--Blainville	Terrebonne--Blainville	Liberal Party of Canada	Parti libéral du Canada	Nassif	Eva		(450) 492-4552	16-Sep-2008	07:00:00
24072	Trois-Rivières	Trois-Rivières	Green Party of Canada	Le Parti Vert du Canada	Blais	Ariane		(819) 375-8423	21-Sep-2008	04:00:00
24072	Trois-Rivières	Trois-Rivières	New Democratic Party	Nouveau Parti démocratique	Boivin	Geneviève		(514) 273-2275	17-Sep-2008	10:40:00
24072	Trois-Rivières	Trois-Rivières	Bloc Québécois	Bloc Québécois	Brunelle	Paule		(819) 374-3599	11-Sep-2008	08:40:00
24072	Trois-Rivières	Trois-Rivières	Conservative Party of Canada	Parti conservateur du Canada	Durand	Claude		(819) 379-2224	11-Sep-2008	08:20:00
24072	Trois-Rivières	Trois-Rivières	Liberal Party of Canada	Parti libéral du Canada	Simard	Marcos G.		(819) 370-6868	20-Sep-2008	03:30:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Bloc Québécois	Bloc Québécois	Faille	Meili		(514) 313-3276	11-Sep-2008	09:13:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	Conservative Party of Canada	Parti conservateur du Canada	Fortier	Michael M.		(450) 455-3330	13-Sep-2008	09:24:00
24073	Vaudreuil-Soulanges	Vaudreuil-Soulanges	New Democratic Party	Nouveau Parti démocratique	Héroux-Legault	Maxime			18-Sep-2008	07:00:00
