Electoral District Number / No. de circonscription	Electoral District Name	Nom de la circonscription	Political Affiliation	Appartenance politique	Candidate's Family Name / Nom de famille du candidat	Candidate's First Name / Prénom du candidat	Candidate's Initial / Initiale du candidat	Confirmation Date / Date de confirmation
24019	Gaspésie--Îles-de-la-Madeleine	Gaspésie--Îles-de-la-Madeleine	Conservative	conservateur	De Coste	Guy		1/6/04 19:30
24019	Gaspésie--Îles-de-la-Madeleine	Gaspésie--Îles-de-la-Madeleine	Green Party	Parti Vert	Eichenberger	Bob		4/6/04 14:55
24020	Gatineau	Gatineau	Liberal	Libéral	Boivin	Françoise		30/05/2004 13:25:00
24020	Gatineau	Gatineau	Green Party	Parti Vert	Gibb	Brian		7/6/04 12:30
24020	Gatineau	Gatineau	Marxist-Leninist	Marxiste-Léniniste	Girard-Bernier	Gabriel		6/6/04 14:10
24020	Gatineau	Gatineau	Conservative	conservateur	Nicolas	Gérald		7/6/04 11:25
24020	Gatineau	Gatineau	Marijuana Party	Parti Marijuana	Salko	Stephane		6/6/04 16:45
24020	Gatineau	Gatineau	Bloc Québécois	Bloc Québécois	Nadeau	Richard		28/05/2004 10:15:00
24020	Gatineau	Gatineau	N.D.P.	N.P.D.	Vaillancourt	Dominique		5/6/04 15:55
24021	Hochelaga	Hochelaga	Liberal	Libéral	Bouvier	Benoit		28/05/2004 11:55:00
24021	Hochelaga	Hochelaga	N.D.P.	N.P.D.	Gagnon 	David 		4/6/04 20:45
24021	Hochelaga	Hochelaga	Conservative	conservateur	Bernier	Mario		3/6/04 15:50
24021	Hochelaga	Hochelaga	Marijuana Party	Parti Marijuana	Théorêt-Poupart	Antoine		2/6/04 10:10
24021	Hochelaga	Hochelaga	Communist	Communiste	Bibeau	Pierre		1/6/04 15:30
24021	Hochelaga	Hochelaga	Bloc Québécois	Bloc Québécois	Ménard	Réal		28/05/2004 15:45:00
24021	Hochelaga	Hochelaga	Marxist-Leninist	Marxiste-Léniniste	Dandenault	Christine		28/05/2004 16:15:00
24021	Hochelaga	Hochelaga	Green Party	Parti Vert	Bramann	Rolf		3/6/04 9:30
24022	Honoré-Mercier	Honoré-Mercier	Liberal	Libéral	Rodriguez	Pablo		1/6/04 17:00
24022	Honoré-Mercier	Honoré-Mercier	Conservative	conservateur	Chiazzese	Gianni		5/6/04 11:50
24022	Honoré-Mercier	Honoré-Mercier	Marijuana Party	Parti Marijuana	Boudrias	Steve		1/6/04 15:00
24022	Honoré-Mercier	Honoré-Mercier	Bloc Québécois	Bloc Québécois	St-Hilaire	Éric		3/6/04 13:30
24022	Honoré-Mercier	Honoré-Mercier	Marxist-Leninist	Marxiste-Léniniste	Héroux	Hélène		31/05/2004 19:59:00
24022	Honoré-Mercier	Honoré-Mercier	Green Party	Parti Vert	Lahaie	Richard		5/6/04 16:10
24022	Honoré-Mercier	Honoré-Mercier	N.D.P.	N.P.D.	Pilon 	François 		4/6/04 15:05
24023	Hull--Aylmer	Hull--Aylmer	Liberal	Libéral	Proulx	Marcel		4/6/04 20:00
24023	Hull--Aylmer	Hull--Aylmer	N.D.P.	N.P.D.	Laliberté	Pierre		1/6/04 14:00
24023	Hull--Aylmer	Hull--Aylmer	Green Party	Parti Vert	Walker	Gail		30/05/2004 14:15:00
24023	Hull--Aylmer	Hull--Aylmer	Bloc Québécois	Bloc Québécois	Charette	Alain		28/05/2004 21:00:00
24023	Hull--Aylmer	Hull--Aylmer	Conservative	conservateur	Bellefeuille	Pierrette		7/6/04 12:00
24023	Hull--Aylmer	Hull--Aylmer	Marxist-Leninist	Marxiste-Léniniste	Legeais	Christian		7/6/04 10:30
24024	Jeanne-Le Ber	Jeanne-Le Ber	Liberal	Libéral	Frulla	Liza		27/05/2004 00:25:55
24024	Jeanne-Le Ber	Jeanne-Le Ber	N.D.P.	N.P.D.	Philbin	Anthony		3/6/04 11:40
24024	Jeanne-Le Ber	Jeanne-Le Ber	Marxist-Leninist	Marxiste-Léniniste	Chouinard	Normand		2/6/04 18:00
24024	Jeanne-Le Ber	Jeanne-Le Ber	Conservative	conservateur	Sévigny	Pierre-Albert		3/6/04 13:35
24024	Jeanne-Le Ber	Jeanne-Le Ber	Marijuana Party	Parti Marijuana	Duchesne	Cathy		3/6/04 11:00
24024	Jeanne-Le Ber	Jeanne-Le Ber	Bloc Québécois	Bloc Québécois	St-Cyr	Thierry		1/6/04 20:45
24024	Jeanne-Le Ber	Jeanne-Le Ber	Green Party	Parti Vert	Mercier	Jean Claude		6/6/04 14:05
24025	Joliette	Joliette	Liberal	Libéral	Coderre	Jean-François		31/05/2004 17:00:00
24025	Joliette	Joliette	N.D.P.	N.P.D.	Trudeau	Jacques		2/6/04 9:45
24025	Joliette	Joliette	Conservative	conservateur	Bouchard	Daniel		5/6/04 13:00
24025	Joliette	Joliette	Marijuana Party	Parti Marijuana	Geoffroy	Marco		3/6/04 9:30
24025	Joliette	Joliette	Bloc Québécois	Bloc Québécois	Paquette	Pierre	A.	28/05/2004 19:30:00
24025	Joliette	Joliette	Green Party	Parti Vert	Gorchinsky	Wendy		4/6/04 20:55
24026	Jonquière--Alma	Jonquière--Alma	Liberal	Libéral	Giguère	Daniel		31/05/2004 08:15:00
24026	Jonquière--Alma	Jonquière--Alma	N.D.P.	N.P.D.	Picard	François		4/6/04 11:50
24026	Jonquière--Alma	Jonquière--Alma	Bloc Québécois	Bloc Québécois	Gagnon	Sébastien		31/05/2004 14:30:00
24026	Jonquière--Alma	Jonquière--Alma	Communist	Communiste	Perron	Michel		7/6/04 11:00
24026	Jonquière--Alma	Jonquière--Alma	Conservative	conservateur	Lavoie	Gilles		29/05/2004 16:20:00
24026	Jonquière--Alma	Jonquière--Alma	Independent	Indépendant	Girard-Bujold	Jocelyne		29/05/2004 14:00:00
24026	Jonquière--Alma	Jonquière--Alma	Green Party	Parti Vert	Busque	Jean-Sébastien		1/6/04 20:00
24027	Lac-Saint-Louis	Lac-Saint-Louis	Liberal	Libéral	Scarpaleggia	Francis		4/6/04 11:30
24027	Lac-Saint-Louis	Lac-Saint-Louis	Green Party	Parti Vert	Graham	Peter		29/05/2004 18:45:00
24027	Lac-Saint-Louis	Lac-Saint-Louis	Conservative	conservateur	Howard	Jeff		4/6/04 11:00
24027	Lac-Saint-Louis	Lac-Saint-Louis	Marijuana Party	Parti Marijuana	Cardinal	Patrick		2/6/04 21:00
24027	Lac-Saint-Louis	Lac-Saint-Louis	Bloc Québécois	Bloc Québécois	Côté	Maxime		3/6/04 18:30
24027	Lac-Saint-Louis	Lac-Saint-Louis	N.D.P.	N.P.D.	Quinn	Daniel		4/6/04 23:40
24028	La Pointe-de-l'Île	La Pointe-de-l'Île	Liberal	Libéral	Gobé	Jean-Claude		28/05/2004 15:30:00
24028	La Pointe-de-l'Île	La Pointe-de-l'Île	Conservative	conservateur	Prevost	Christian		3/6/04 20:45
24028	La Pointe-de-l'Île	La Pointe-de-l'Île	Bloc Québécois	Bloc Québécois	Lalonde	Francine		25/05/2004 20:05:00
24028	La Pointe-de-l'Île	La Pointe-de-l'Île	Green Party	Parti Vert	Levert	Andre		7/6/04 13:30
24028	La Pointe-de-l'Île	La Pointe-de-l'Île	N.D.P.	N.P.D.	Langevin	André		1/6/04 20:45
24029	LaSalle--Émard	LaSalle--Émard	Liberal	Libéral	Martin	Paul		1/6/04 15:30
24029	LaSalle--Émard	LaSalle--Émard	Marxist-Leninist	Marxiste-Léniniste	Bédard	Jean-Paul		1/6/04 19:59
24029	LaSalle--Émard	LaSalle--Émard	Conservative	conservateur	Roy-Arcelin	Nicole		7/6/04 13:45
24029	LaSalle--Émard	LaSalle--Émard	Marijuana Party	Parti Marijuana	St-Maurice	Marc-Boris		6/6/04 13:05
24029	LaSalle--Émard	LaSalle--Émard	Bloc Québécois	Bloc Québécois	Larrivée	Thierry		25/05/2004 16:10:00
24029	LaSalle--Émard	LaSalle--Émard	N.D.P.	N.P.D.	Blaikie	Rebecca		3/6/04 19:00
24029	LaSalle--Émard	LaSalle--Émard	Green Party	Parti Vert	Jack	Douglas		4/6/04 15:30
24030	Laurentides--Labelle	Laurentides--Labelle	Liberal	Libéral	Boyer	Dominique		29/05/2004 10:35:00
24030	Laurentides--Labelle	Laurentides--Labelle	N.D.P.	N.P.D.	Naef	Brendan		4/6/04 10:00
24030	Laurentides--Labelle	Laurentides--Labelle	Conservative	conservateur	Desjardins	Guillaume		4/6/04 10:54
24030	Laurentides--Labelle	Laurentides--Labelle	Bloc Québécois	Bloc Québécois	Deschamps	Johanne		29/05/2004 10:15:00
24030	Laurentides--Labelle	Laurentides--Labelle	Green Party	Parti Vert	Léger	Jacques		1/6/04 14:00
24031	Laurier	Laurier	Liberal	Libéral	Thibault	Jean-François		1/6/04 16:30
24031	Laurier	Laurier	N.D.P.	N.P.D.	Gregoire	François		1/6/04 15:30
24031	Laurier	Laurier	Green Party	Parti Vert	Perceval-Maxwell	Dylan		1/6/04 16:00
24031	Laurier	Laurier	Bloc Québécois	Bloc Québécois	Duceppe	Gilles		24/05/2004 09:10:00
24031	Laurier	Laurier	Marijuana Party	Parti Marijuana	Tanguay	Nicky		3/6/04 11:00
24031	Laurier	Laurier	Conservative	conservateur	Albert	Pierre		4/6/04 14:55
24031	Laurier	Laurier	Marxist-Leninist	Marxiste-Léniniste	Boutet	Ginette		31/05/2004 16:20:00
24032	Laval	Laval	Liberal	Libéral	Lafleur	Pierre		29/05/2004 10:30:00
24032	Laval	Laval	Bloc Québécois	Bloc Québécois	Demers	Nicole		4/6/04 9:30
24032	Laval	Laval	Marijuana Party	Parti Marijuana	Losier-Côté	Pierre		7/6/04 16:15
24032	Laval	Laval	Conservative	conservateur	d'Amours	Stéphane		29/05/2004 12:00:00
24032	Laval	Laval	N.D.P.	N.P.D.	Giguère	Alain		5/6/04 11:30
24032	Laval	Laval	Green Party	Parti Vert	Pichereau	Damien		1/6/04 15:00
24033	Laval--Les Îles	Laval--Les Îles	Liberal	Libéral	Folco	Raymonde		3/6/04 20:30
24033	Laval--Les Îles	Laval--Les Îles	Conservative	conservateur	Pratte	Jean-Paul		1/6/04 20:50
24033	Laval--Les Îles	Laval--Les Îles	Marijuana Party	Parti Marijuana	Allard	Michel		30/05/2004 15:45:00
24033	Laval--Les Îles	Laval--Les Îles	Bloc Québécois	Bloc Québécois	Poirier	Micaël		29/05/2004 14:15:00
24033	Laval--Les Îles	Laval--Les Îles	Marxist-Leninist	Marxiste-Léniniste	Tsakanikas	Polyvios		4/6/04 15:00
24033	Laval--Les Îles	Laval--Les Îles	Green Party	Parti Vert	Véronneau	Pierre		2/6/04 19:30
24033	Laval--Les Îles	Laval--Les Îles	N.D.P.	N.P.D.	Michaud	Paul		2/6/04 18:45
24034	Lévis--Bellechasse	Lévis--Bellechasse	Liberal	Libéral	Jobin	Christian		29/05/2004 10:00:00
24034	Lévis--Bellechasse	Lévis--Bellechasse	Conservative	conservateur	Vézina	Gilles		29/05/2004 09:45:00
24034	Lévis--Bellechasse	Lévis--Bellechasse	Communist	Communiste	Vaillancourt	Christophe		3/6/04 18:00
24034	Lévis--Bellechasse	Lévis--Bellechasse	N.D.P.	N.P.D.	Foisy	Louise		7/6/04 12:30
24034	Lévis--Bellechasse	Lévis--Bellechasse	Green Party	Parti Vert	Castonguay	Sylvain		1/6/04 19:20
24034	Lévis--Bellechasse	Lévis--Bellechasse	Bloc Québécois	Bloc Québécois	Lapierre	Réal		29/05/2004 09:50:00
24035	Longueuil	Longueuil	Liberal	Libéral	Gladu	Robert		31/05/2004 17:00:00
24035	Longueuil	Longueuil	N.D.P.	N.P.D.	Fournier-Sylvester	Nicole		4/6/04 20:00
24035	Longueuil	Longueuil	Conservative	conservateur	Bélisle	Richard		29/05/2004 17:30:00
24035	Longueuil	Longueuil	Marijuana Party	Parti Marijuana	Fiset	David		7/6/04 15:00
24035	Longueuil	Longueuil	Bloc Québécois	Bloc Québécois	St-Hilaire	Caroline		28/05/2004 23:00:00
24035	Longueuil	Longueuil	Green Party	Parti Vert	Bédard	Michel		7/6/04 13:50
24036	Lotbinière--Chutes-de-la-Chaudière	Lotbinière--Chutes-de-la-Chaudière	Liberal	Libéral	Gagné	Anicet		29/05/2004 11:30:00
24036	Lotbinière--Chutes-de-la-Chaudière	Lotbinière--Chutes-de-la-Chaudière	N.D.P.	N.P.D.	Bernatchez	Jean		28/05/2004 10:05:00
24036	Lotbinière--Chutes-de-la-Chaudière	Lotbinière--Chutes-de-la-Chaudière	Bloc Québécois	Bloc Québécois	Desrochers	Odina		29/05/2004 11:30:00
24036	Lotbinière--Chutes-de-la-Chaudière	Lotbinière--Chutes-de-la-Chaudière	Conservative	conservateur	Landry	Jean		28/05/2004 10:00:00
24036	Lotbinière--Chutes-de-la-Chaudière	Lotbinière--Chutes-de-la-Chaudière	Green Party	Parti Vert	MacDonald	Rama	Borne	2/6/04 20:27
24037	Louis-Hébert	Louis-Hébert	Liberal	Libéral	Chalifour Scherrer	Hélène		28/05/2004 16:15:00
24037	Louis-Hébert	Louis-Hébert	Green Party	Parti Vert	Guay	Jean-Pierre		1/6/04 20:30
24037	Louis-Hébert	Louis-Hébert	Conservative	conservateur	Gauthier	Clermont		28/05/2004 16:15:00
24037	Louis-Hébert	Louis-Hébert	Bloc Québécois	Bloc Québécois	Clavet	Roger		28/05/2004 16:15:00
24037	Louis-Hébert	Louis-Hébert	N.D.P.	N.P.D.	Turcotte	Robert		29/05/2004 09:30:00
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Liberal	Libéral	Fragasso	Michel		1/6/04 17:00
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Conservative	conservateur	Verner	Josée		28/05/2004 11:45:00
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Independent	Indépendant	Gauvin	Henri		7/6/04 13:35
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Independent	Indépendant	Carignan	Jean-Guy		7/6/04 13:15
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Communist	Communiste	Théberge	Dominique		31/05/2004 10:00:00
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Bloc Québécois	Bloc Québécois	Cleary	Bernard		28/05/2004 20:00:00
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	Green Party	Parti Vert	Bonaventure	Yonnel		28/05/2004 15:40:00
24038	Louis-Saint-Laurent	Louis-Saint-Laurent	N.D.P.	N.P.D.	Bojanowski	Christopher		2/6/04 10:15
24039	Manicouagan	Manicouagan	Liberal	Libéral	Detroio	Anthony		31/05/2004 17:22:00
24039	Manicouagan	Manicouagan	N.D.P.	N.P.D.	Ducasse	Pierre		30/05/2004 15:07:00
24039	Manicouagan	Manicouagan	Conservative	conservateur	Paradis	Pierre		31/05/2004 16:00:00
24039	Manicouagan	Manicouagan	Bloc Québécois	Bloc Québécois	Asselin	Gérard		2/6/04 10:30
24039	Manicouagan	Manicouagan	Green Party	Parti Vert	Parsons	Les		2/6/04 21:10
24040	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Liberal	Libéral	Girard	Nancy		2/6/04 9:30
24040	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Conservative	conservateur	Bissonnette	Marc		4/6/04 17:00
24040	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Bloc Québécois	Bloc Québécois	Ménard 	Serge		27/05/2004 17:15:00
24040	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	N.D.P.	N.P.D.	Généreux	Lyse		4/6/04 7:02
24040	Marc-Aurèle-Fortin	Marc-Aurèle-Fortin	Green Party	Parti Vert	Bissonnette	Lise 		4/6/04 13:50
24041	Matapédia--Matane	Matapédia--Matane	Liberal	Libéral	Bélanger	Marc		29/05/2004 15:30:00
24041	Matapédia--Matane	Matapédia--Matane	Conservative	conservateur	Fortin-Vidah	Vahid		5/6/04 9:15
24041	Matapédia--Matane	Matapédia--Matane	Bloc Québécois	Bloc Québécois	Roy	Jean-Yves		29/05/2004 11:12:00
24041	Matapédia--Matane	Matapédia--Matane	N.D.P.	N.P.D.	Côté	Jean-Guy		29/05/2004 16:12:00
24041	Matapédia--Matane	Matapédia--Matane	Green Party	Parti Vert	Deville	Nicolas		7/6/04 16:47
24042	Mégantic--L'Érable	Mégantic--L'Érable	Liberal	Libéral	Binet	Gérard		26/05/2004 19:45:00
24042	Mégantic--L'Érable	Mégantic--L'Érable	Conservative	conservateur	Mailly	Yves		31/05/2004 15:15:00
24042	Mégantic--L'Érable	Mégantic--L'Érable	Bloc Québécois	Bloc Québécois	Boulianne	Marc		27/05/2004 17:00:00
24042	Mégantic--L'Érable	Mégantic--L'Érable	Green Party	Parti Vert	Vézina	Bruno		3/6/04 11:30
24042	Mégantic--L'Érable	Mégantic--L'Érable	N.D.P.	N.P.D.	Côté	Alexandre		1/6/04 14:15
24043	Montcalm	Montcalm	Liberal	Libéral	Brazeau	Daniel		31/05/2004 17:30:00
24043	Montcalm	Montcalm	N.D.P.	N.P.D.	Rivest	François		4/6/04 20:15
24043	Montcalm	Montcalm	Bloc Québécois	Bloc Québécois	Gaudet	Roger		29/05/2004 17:15:00
24043	Montcalm	Montcalm	Conservative	conservateur	Paulette	Michel		5/6/04 15:20
24043	Montcalm	Montcalm	Green Party	Parti Vert	Bellemare	Serge		4/6/04 21:25
24044	Mount Royal	Mont-Royal	Liberal	Libéral	Cotler	Irwin		2/6/04 15:30
24044	Mount Royal	Mont-Royal	Conservative	conservateur	Fireman	Matthew		4/6/04 18:25
24044	Mount Royal	Mont-Royal	Marijuana Party	Parti Marijuana	Greenblatt	Adam		4/6/04 17:20
24044	Mount Royal	Mont-Royal	Bloc Québécois	Bloc Québécois	Gagnon	Vincent		5/6/04 16:20
24044	Mount Royal	Mont-Royal	Marxist-Leninist	Marxiste-Léniniste	Johnston	Diane		30/05/2004 14:30:00
24044	Mount Royal	Mont-Royal	N.D.P.	N.P.D.	Beaudet	Sébastien		4/6/04 15:02
24044	Mount Royal	Mont-Royal	Green Party	Parti Vert	Sommerfeld	Adam		3/6/04 19:17
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Liberal	Libéral	Jennings	Marlene		29/05/2004 14:30:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Libertarian	Libertarien	Wertheimer	Earl		7/6/04 16:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Conservative	conservateur	McCullock	William	R.	29/05/2004 12:30:00
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Marijuana Party	Parti Marijuana	Dell	Jay		7/6/04 11:55
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Bloc Québécois	Bloc Québécois	Chartré	Jean-Philippe		5/6/04 11:45
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Marxist-Leninist	Marxiste-Léniniste	Hoffman	Rachel		4/6/04 20:46
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	Green Party	Parti Vert	Gal	Jessica		7/6/04 10:30
24045	Notre-Dame-de-Grâce--Lachine	Notre-Dame-de-Grâce--Lachine	N.D.P.	N.P.D.	Chávez	Maria Pia		29/05/2004 13:45:00
24046	Nunavik--Eeyou	Nunavik--Eeyou	Liberal	Libéral	St-Julien	Guy		28/05/2004 10:30:00
24046	Nunavik--Eeyou	Nunavik--Eeyou	Conservative	conservateur	Dionne	François		3/6/04 11:35
24046	Nunavik--Eeyou	Nunavik--Eeyou	Bloc Québécois	Bloc Québécois	Lévesque	Yvon		29/05/2004 14:50:00
24046	Nunavik--Eeyou	Nunavik--Eeyou	Green Party	Parti Vert	Fournier	Martin		3/6/04 12:45
24046	Nunavik--Eeyou	Nunavik--Eeyou	N.D.P.	N.P.D.	Corbeil	Pierre		7/6/04 13:55
24047	Outremont	Outremont	Liberal	Libéral	Lapierre	Jean		28/05/2004 16:30:00
24047	Outremont	Outremont	Marijuana Party	Parti Marijuana	Lacombe	Yan		7/6/04 18:30
24047	Outremont	Outremont	Conservative	conservateur	Rousseau	Marc		31/05/2004 12:30:00
24047	Outremont	Outremont	Bloc Québécois	Bloc Québécois	Rebello	François		28/05/2004 18:05:00
24047	Outremont	Outremont	Marxist-Leninist	Marxiste-Léniniste	Sullivan	Linda		2/6/04 20:30
24047	Outremont	Outremont	N.D.P.	N.P.D.	Aktouf	Omar		29/05/2004 15:33:00
24047	Outremont	Outremont	Green Party	Parti Vert	Perceval-Maxwell	Shaun		5/6/04 18:17
24048	Papineau	Papineau	Liberal	Libéral	Pettigrew	Pierre		1/6/04 10:00
24048	Papineau	Papineau	Conservative	conservateur	Sarker	Mustaque		3/6/04 12:30
24048	Papineau	Papineau	Marijuana Party	Parti Marijuana	Dusablon-Pelletier	Christelle		3/6/04 18:00
24048	Papineau	Papineau	Independent	Indépendant	Garoufalis	Jimmy		4/6/04 20:00
24048	Papineau	Papineau	Communist	Communiste	Parizeau	André		4/6/04 20:25
24048	Papineau	Papineau	Bloc Québécois	Bloc Québécois	Carrière	Martine		30/05/2004 15:00:00
24048	Papineau	Papineau	Marxist-Leninist	Marxiste-Léniniste	Macrisopoulos	Peter		4/6/04 20:45
24048	Papineau	Papineau	Green Party	Parti Vert	Jastrzebski	Adam		4/6/04 16:00
24048	Papineau	Papineau	N.D.P.	N.P.D.	Frappier	André		2/6/04 15:45
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Liberal	Libéral	Patry	Bernard		1/6/04 10:05
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Marxist-Leninist	Marxiste-Léniniste	Colly	Garnet		3/6/04 13:45
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Green Party	Parti Vert	Kouretas	Theodore		3/6/04 16:45
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Conservative	conservateur	Paine	Andrea		3/6/04 14:40
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Marijuana Party	Parti Marijuana	Labrecque	Jean-François		7/6/04 12:30
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	Bloc Québécois	Bloc Québécois	Brunet	Marie-Hélène		3/6/04 15:15
24049	Pierrefonds--Dollard	Pierrefonds--Dollard	N.D.P.	N.P.D.	Lustgarten	Danielle		3/6/04 16:25
24050	Pontiac	Pontiac	Liberal	Libéral	Smith	David		30/05/2004 09:30:00
24050	Pontiac	Pontiac	Conservative	conservateur	Grant	Judith		4/6/04 14:00
24050	Pontiac	Pontiac	Bloc Québécois	Bloc Québécois	Leduc	L-Hubert		2/6/04 12:10
24050	Pontiac	Pontiac	Marxist-Leninist	Marxiste-Léniniste	Legros	Benoit		4/6/04 19:20
24050	Pontiac	Pontiac	Green Party	Parti Vert	Vicente	Thierry		4/6/04 16:00
24050	Pontiac	Pontiac	N.D.P.	N.P.D.	Schwarz	Gretchen		4/6/04 10:00
24051	Portneuf	Portneuf	Liberal	Libéral	Duplain	Claude		1/6/04 9:15
24051	Portneuf	Portneuf	Green Party	Parti Vert	Poulin	Pierre		3/6/04 14:15
24051	Portneuf	Portneuf	Bloc Québécois	Bloc Québécois	Côté	Guy		29/05/2004 10:00:00
24051	Portneuf	Portneuf	Conservative	conservateur	Bruce	Howard M.		1/6/04 9:35
24051	Portneuf	Portneuf	N.D.P.	N.P.D.	Breton	Jean-François		31/05/2004 10:00:00
24052	Québec	Québec	Liberal	Libéral	Côté	Jean-Philippe		5/6/04 9:15
24052	Québec	Québec	Conservative	conservateur	Gaudreault	Pierre		29/05/2004 10:00:00
24052	Québec	Québec	Marijuana Party	Parti Marijuana	Paradis	Pierre-Etienne		1/6/04 18:00
24052	Québec	Québec	Bloc Québécois	Bloc Québécois	Gagnon	Christiane		28/05/2004 10:00:00
24052	Québec	Québec	Green Party	Parti Vert	Yaccarini	Antonine		31/05/2004 10:30:00
24052	Québec	Québec	Marxist-Leninist	Marxiste-Léniniste	Bédard	Jean		5/6/04 11:45
24052	Québec	Québec	N.D.P.	N.P.D.	Fiset	Jean-Marie		2/6/04 15:00
24053	Repentigny	Repentigny	Liberal	Libéral	Brien	Lévis		3/6/04 0:30
24053	Repentigny	Repentigny	N.D.P.	N.P.D.	Cardinal	André		30/05/2004 15:00:00
24053	Repentigny	Repentigny	Bloc Québécois	Bloc Québécois	Sauvageau	Benoît		27/05/2004 10:28:00
24053	Repentigny	Repentigny	Conservative	conservateur	MacKenzie	Allen  F.		4/6/04 16:41
24053	Repentigny	Repentigny	Marijuana Party	Parti Marijuana	Boudreau	François		2/6/04 20:30
24053	Repentigny	Repentigny	Green Party	Parti Vert	Léveque	Jean-François		4/6/04 12:24
24054	Richelieu	Richelieu	Liberal	Libéral	Provencher	Ghislaine		4/6/04 11:35
24054	Richelieu	Richelieu	Conservative	conservateur	Proulx	Daniel A.		6/6/04 13:47
24054	Richelieu	Richelieu	Marijuana Party	Parti Marijuana	Blackburn	Daniel		7/6/04 15:36
24054	Richelieu	Richelieu	Bloc Québécois	Bloc Québécois	Plamondon	Louis		30/05/2004 16:25:00
24054	Richelieu	Richelieu	Green Party	Parti Vert	Bonenfant	Jean-Pierre		4/6/04 13:09
24054	Richelieu	Richelieu	N.D.P.	N.P.D.	Bussières	Charles		4/6/04 13:50
24055	Richmond--Arthabaska	Richmond--Arthabaska	Liberal	Libéral	St-Pierre	Christine		1/6/04 15:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Bloc Québécois	Bloc Québécois	Bellavance	André		26/05/2004 13:00:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	Green Party	Parti Vert	Laforest	Lucie		3/6/04 10:30
24055	Richmond--Arthabaska	Richmond--Arthabaska	Conservative	conservateur	Poissant	Pierre		6/6/04 13:00
24055	Richmond--Arthabaska	Richmond--Arthabaska	N.D.P.	N.P.D.	Noble	Jason	S.	1/6/04 13:30
24056	Rimouski--Témiscouata	Rimouski--Témiscouata	Liberal	Libéral	Roy	Côme		4/6/04 16:10
24056	Rimouski--Témiscouata	Rimouski--Témiscouata	Conservative	conservateur	Quimper	Denis		29/05/2004 15:45:00
24056	Rimouski--Témiscouata	Rimouski--Témiscouata	Green Party	Parti Vert	Delaunière	Marjolaine		31/05/2004 17:15:00
24056	Rimouski--Témiscouata	Rimouski--Témiscouata	Bloc Québécois	Bloc Québécois	Thibault	Louise		1/6/04 20:15
24056	Rimouski--Témiscouata	Rimouski--Témiscouata	N.D.P.	N.P.D.	Caron	Guy		3/6/04 11:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Liberal	Libéral	Savignac	Yolaine		28/05/2004 10:30:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Bloc Québécois	Bloc Québécois	Perron	Gilles-A.		25/05/2004 15:30:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Green Party	Parti Vert	Bédard	Marie Martine		4/6/04 9:30
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	Conservative	conservateur	Gauthier	Érick		4/6/04 13:00
24057	Rivière-des-Mille-Îles	Rivière-des-Mille-Îles	N.D.P.	N.P.D.	Du Cap 	Nicolas		5/6/04 10:00
24058	Rivière-du-Loup--Montmagny	Rivière-du-Loup--Montmagny	Liberal	Libéral	Mignault	Isabelle		5/6/04 10:30
24058	Rivière-du-Loup--Montmagny	Rivière-du-Loup--Montmagny	Conservative	conservateur	Drolet	Marc-André		28/05/2004 12:30:00
24058	Rivière-du-Loup--Montmagny	Rivière-du-Loup--Montmagny	Bloc Québécois	Bloc Québécois	Crête	Paul		28/05/2004 10:38:00
24058	Rivière-du-Loup--Montmagny	Rivière-du-Loup--Montmagny	Green Party	Parti Vert	Clermont	André		4/6/04 18:20
